Res_ID inflow
R01 205.365041
R02 107.328236
R03 52.639506
R04 56.395963
R05 54.14172
R06 54.847279
R07 36.194895
R08 39.915678
R09 47.668252
R10 30.566819
R11 31.166815
R12 24.94808
R13 17.399431
R14 12.64502
R15 13.859766
R16 16.2068
R17 12.595356
R18 13.052832
R19 8.501302
R20 9.680623
R21 5.994923
R22 3.783139
R23 3.823506
R24 3.782045
R25 3.011598
R26 2.733747
R27 2.159252
R28 67.041449
R29 53.706661
R30 27.970281
R31 11.463951
R32 8.666014
R33 7.097311
R34 3.699889
R35 4.670337
R36 4.240772
R37 4.48557
R38 2.772233
R39 3.210373
R40 3.425458
R41 3.423898
R42 1.739678
R43 1.823917
R44 1.757198
R45 2.208581
R46 1.726148
R47 1.371855
R48 1.397762
R49 1.680836
R50 1.66701
R51 1.444902
R52 1.627894
R53 1.216549
R54 1.496699
R55 1.246835
