Res_ID inflow
R01 53.103425
R02 19.305325
R03 8.317215
R04 8.871093
R05 8.05504
R06 7.404362
R07 8.874736
R08 10.236511
R09 9.782931
R10 6.737425
R11 7.256762
R12 3.583204
R13 3.56688
R14 2.72232
R15 3.695589
R16 2.43916
R17 2.219413
R18 2.769779
R19 1.793242
R20 1.241134
R21 1.545327
R22 1.075232
R23 0.95629
R24 0.847357
R25 0.580176
R26 0.535045
R27 0.444637
R28 13.285526
R29 7.476517
R30 5.482572
R31 2.35966
R32 1.519925
R33 1.488473
R34 1.088607
R35 0.906536
R36 0.855634
R37 0.95444
R38 0.728469
R39 0.554713
R40 0.79201
R41 0.49885
R42 0.490549
R43 0.493165
R44 0.30527
R45 0.473096
R46 0.405549
R47 0.312539
R48 0.425246
R49 0.270251
R50 0.338694
R51 0.322397
R52 0.266756
R53 0.296292
R54 0.23624
R55 0.255485
