Res_ID inflow
R01 83.370195
R02 32.677955
R03 20.921428
R04 13.300623
R05 19.554638
R06 11.991611
R07 16.249887
R08 13.789806
R09 11.10829
R10 12.573128
R11 9.174797
R12 9.461683
R13 6.2197
R14 4.039232
R15 5.64244
R16 3.811903
R17 3.539241
R18 3.251316
R19 2.924363
R20 2.386483
R21 2.101773
R22 1.926395
R23 1.270157
R24 1.040596
R25 0.888443
R26 1.036226
R27 0.830712
R28 23.419393
R29 15.17939
R30 9.945885
R31 2.978181
R32 3.508532
R33 2.700878
R34 1.573211
R35 1.567862
R36 1.2651
R37 1.393734
R38 0.95515
R39 1.118828
R40 1.277703
R41 1.240114
R42 0.733213
R43 0.695836
R44 0.545315
R45 0.707378
R46 0.531459
R47 0.577622
R48 0.573571
R49 0.427963
R50 0.611463
R51 0.556226
R52 0.345625
R53 0.400303
R54 0.32499
R55 0.459048
