Res_ID inflow
R01 64.536787
R02 34.204495
R03 15.487994
R04 19.221236
R05 18.081947
R06 18.430712
R07 13.954188
R08 16.131302
R09 11.046769
R10 13.136014
R11 11.153893
R12 5.992139
R13 6.262764
R14 4.869936
R15 3.997742
R16 3.439844
R17 4.991994
R18 3.535841
R19 2.971512
R20 2.501725
R21 2.049138
R22 1.922733
R23 1.230981
R24 1.146689
R25 1.155818
R26 0.749797
R27 1.001225
R28 20.730032
R29 12.746856
R30 9.302402
R31 3.527343
R32 3.767187
R33 2.239089
R34 1.583082
R35 1.903246
R36 1.5539
R37 1.34627
R38 0.871657
R39 0.870952
R40 0.993432
R41 0.955948
R42 0.600922
R43 0.78474
R44 0.533308
R45 0.723924
R46 0.613972
R47 0.603681
R48 0.590697
R49 0.402674
R50 0.607338
R51 0.368589
R52 0.401381
R53 0.340315
R54 0.409699
R55 0.400634
