Res_ID inflow
R01 101.294079
R02 49.716994
R03 32.450787
R04 21.848576
R05 27.889127
R06 23.29127
R07 24.977648
R08 25.625342
R09 17.563161
R10 20.532238
R11 17.620403
R12 9.362868
R13 8.57439
R14 9.080259
R15 10.422124
R16 5.636807
R17 7.464145
R18 6.119369
R19 3.60167
R20 4.686079
R21 3.748051
R22 2.772128
R23 2.379698
R24 1.767462
R25 1.667655
R26 1.206983
R27 1.136305
R28 42.42459
R29 22.36905
R30 16.568868
R31 6.721112
R32 6.050786
R33 3.753799
R34 2.841938
R35 2.588697
R36 2.84766
R37 1.767668
R38 2.081608
R39 1.580825
R40 1.416405
R41 1.976739
R42 1.220857
R43 0.82721
R44 1.10837
R45 0.909409
R46 0.936328
R47 0.836376
R48 0.925091
R49 0.789027
R50 0.955554
R51 0.949662
R52 0.665493
R53 0.782843
R54 0.660072
R55 0.648821
