Res_ID inflow
R01 204.561573
R02 87.3168
R03 42.765491
R04 52.819829
R05 55.07298
R06 42.632373
R07 53.242683
R08 40.474857
R09 35.201453
R10 25.129639
R11 36.340011
R12 19.214339
R13 20.070844
R14 13.955075
R15 13.971914
R16 10.685354
R17 13.823095
R18 9.007373
R19 7.079211
R20 7.351805
R21 5.102448
R22 5.062538
R23 5.661521
R24 4.251256
R25 3.780026
R26 2.965177
R27 2.000874
R28 88.94904
R29 41.567746
R30 29.690968
R31 13.504672
R32 11.464057
R33 6.259982
R34 4.5908
R35 3.928207
R36 4.156758
R37 4.990313
R38 3.629857
R39 2.578158
R40 3.462891
R41 3.182952
R42 2.492142
R43 1.857546
R44 1.929756
R45 1.568887
R46 2.112182
R47 1.817259
R48 1.725273
R49 1.653141
R50 1.258771
R51 1.189826
R52 1.31291
R53 1.337294
R54 1.398709
R55 0.995313
