Res_ID inflow
R01 98.40553
R02 64.678085
R03 31.343127
R04 32.676975
R05 33.135483
R06 22.645266
R07 19.991858
R08 19.326007
R09 26.374402
R10 15.054212
R11 14.047063
R12 13.277286
R13 7.839076
R14 9.14711
R15 10.240461
R16 8.051178
R17 6.241296
R18 5.754926
R19 3.807428
R20 5.069926
R21 3.075804
R22 2.368243
R23 2.766357
R24 2.220377
R25 1.779746
R26 1.114466
R27 1.557402
R28 32.684951
R29 26.091777
R30 13.555572
R31 6.380267
R32 4.17299
R33 3.810828
R34 2.722335
R35 3.061493
R36 1.925196
R37 1.782439
R38 1.548248
R39 1.809207
R40 1.525052
R41 1.899871
R42 0.923743
R43 1.123303
R44 0.965189
R45 0.884819
R46 0.978502
R47 1.12188
R48 0.760217
R49 0.733985
R50 0.977258
R51 0.940426
R52 0.805369
R53 0.73995
R54 0.778151
R55 0.737339
