Res_ID inflow
R01 172.231005
R02 74.477958
R03 37.529992
R04 39.421707
R05 35.887441
R06 33.073672
R07 30.878386
R08 23.545537
R09 20.874687
R10 21.729309
R11 26.511778
R12 13.706493
R13 12.29153
R14 8.358992
R15 10.320402
R16 10.754799
R17 6.180467
R18 9.404835
R19 6.700217
R20 4.271688
R21 5.325531
R22 2.731497
R23 2.331666
R24 2.583584
R25 2.534758
R26 1.862596
R27 1.725741
R28 40.596729
R29 24.826847
R30 14.763923
R31 8.544222
R32 5.831027
R33 3.583481
R34 4.016379
R35 2.449104
R36 2.572718
R37 2.577588
R38 2.570126
R39 1.734516
R40 2.583542
R41 2.50241
R42 1.275373
R43 1.54225
R44 1.300883
R45 1.609711
R46 1.275015
R47 1.339736
R48 1.354225
R49 0.876361
R50 1.114981
R51 0.902394
R52 0.931598
R53 0.854332
R54 0.942449
R55 0.671105
