Res_ID inflow
R01 36.894989
R02 21.066218
R03 10.436265
R04 13.095891
R05 10.873357
R06 7.0443
R07 9.439475
R08 9.314285
R09 7.768813
R10 5.589037
R11 5.94315
R12 4.611863
R13 3.362
R14 2.928498
R15 3.596653
R16 2.624587
R17 2.883062
R18 2.055809
R19 1.331284
R20 1.574308
R21 1.180507
R22 1.137878
R23 0.685509
R24 0.85022
R25 0.566843
R26 0.494151
R27 0.418152
R28 17.563619
R29 10.79937
R30 4.242984
R31 1.661053
R32 1.880757
R33 1.195026
R34 1.024198
R35 1.133634
R36 0.888
R37 0.700349
R38 0.549102
R39 0.840068
R40 0.573956
R41 0.629244
R42 0.35629
R43 0.417141
R44 0.295781
R45 0.410843
R46 0.351686
R47 0.322708
R48 0.351133
R49 0.251654
R50 0.292273
R51 0.27953
R52 0.224764
R53 0.229098
R54 0.229788
R55 0.22036
