Res_ID inflow
R01 156.988608
R02 59.58673
R03 35.757777
R04 39.026833
R05 26.441953
R06 33.311329
R07 25.777975
R08 21.442488
R09 28.514088
R10 18.890981
R11 22.312204
R12 19.007961
R13 11.480342
R14 8.538544
R15 8.978381
R16 9.096551
R17 9.82103
R18 9.258949
R19 6.044882
R20 6.436345
R21 3.991511
R22 3.852277
R23 2.637773
R24 2.878088
R25 2.778074
R26 1.414811
R27 1.77606
R28 42.516868
R29 27.321768
R30 19.704547
R31 7.761176
R32 4.923626
R33 5.552183
R34 2.743179
R35 2.645253
R36 3.415992
R37 2.470471
R38 2.783617
R39 2.551729
R40 1.790342
R41 1.725688
R42 1.263922
R43 1.041859
R44 1.562523
R45 1.122319
R46 1.054052
R47 0.976266
R48 1.227613
R49 0.772581
R50 1.006733
R51 0.828752
R52 0.795096
R53 0.810679
R54 0.731956
R55 1.005761
